ui,vi,wi
-16.44,1.85,-11.01
32.37,1.48,1.87
-14.79,1.15,14
38.82,48.12,-25.61
-65.78,-0.96,-0.93
-66.99,0.88,-1.55
-21.75,2.84,-14.14
31.81,1.55,-1.32
32.35,3.31,-1.68
35.74,4.25,-1.47
-17.05,1.09,11.42
34,-0.21,-1.42
35.87,-0.71,-1.26
39.64,0.85,-2.08
-14.21,1.48,11.56
-68.08,1.77,-0.94
-65.96,1.1,-0.74
85.75,-1.08,-13.86
-16.7,-1.92,-14.15
35.65,-2.88,-1.62
33.75,-0.6,-1.7
33.43,-0.28,-1.32
33.62,-0.63,-1.32
35.4,1.76,-1.14
36.26,-0.51,-1.36
35.47,-1.62,-1.4
36.1,-1.38,-1.67
35.67,-0.52,-1.98
33.32,-3.86,-2.72
-16.97,-1.7,10.66
35.49,0.08,-1.31
32.94,1.59,-1.84
34.7,0.31,-1.81
84,1.19,-13.93
-16.66,-0.1,11.68
33.14,-1.48,-26.96
-12.53,-0.7,-13.83
-13.21,0.32,-14.32
-12.89,0.2,-14.99
36.17,-0.81,-2.33
33.95,-1.38,-1.73
32.55,-1.99,-1.68
33.12,-0.98,-1.48
32.24,-2.06,-1.15
32.28,-0.19,-0.2
33.3,-0.59,0.17
33.82,0.12,-0.71
32.76,-1.75,-0.71
32.48,-1.6,0.21
35.62,-1.07,0.57
33.43,-1.96,0.13
34.49,-0.2,0.68
34.16,1.04,0.63
33.75,1.13,0.26
34.29,1.49,-0.37
34.52,-3.5,0.57
35.19,-2.43,-0.28
-16.27,0.41,-12.78
36.73,-2.42,-0.2
87.11,-1.64,-13.85
33.41,-1.6,-0.6
-14.99,-0.24,-13.95
-14.37,-1.61,-13.68
36.53,-2.26,-1.54
34.36,-3.03,-0.93
81.47,-2.49,-13.47
-17.59,-2.8,-14.01
37.47,2.45,-0.93
36.32,-1.47,-1.09
34.15,-2.19,-1.53
-16.06,-0.93,11.47
77.36,-0.76,-13.22
32.96,-1.24,-1.4
36.75,-2.5,-0.86
36.55,-0.85,-0.68
36.37,-0.82,-0.83
35.01,0.76,-0.71
82.77,-3.28,-12.72
32.64,-2.23,-26.39
-67.3,-1.86,-1.37
87.34,0.52,-13.68
-64.06,-1.42,-0.51
86.18,-0.27,-13.95
-66.5,-1.92,-1.47
83,-2.83,-13.47
84.67,-1.42,12.02
84.14,-0.81,11.91
-17.38,0.89,-14.89
35.37,0.4,-1.25
34.61,3.37,-1.68
35.15,0.37,-2.03
-13.32,-2.63,10.4
83.48,-1.86,-14.4
83.48,0.98,-13.83
-19.08,2.47,-13.88
88.62,0.51,12.26
37.27,1.05,-0.99
38.1,-1.31,-1.93
35.47,-3.13,-1.48
31.22,-2.41,-0.89
33,-2.08,-0.98
33.23,-1.15,-1.04
33.21,-2.78,-0.73
33.95,-1.7,-0.93
35.46,-1.25,-1.1
34.74,-1.36,-0.94
32.17,2.37,-1.21
34.59,3.84,-1.55
34.31,-0.24,-1.56
33.41,0.03,-1.51
33.52,-0.78,-1.7
34.68,-2.64,-1.3
34.99,0.1,-1.31
35.78,0.94,-1.13
35.19,0.46,-1.64
31.56,-1.2,-0.86
-22.22,-0.15,-13.33
29.8,1.51,0.1
29.71,2.08,0.63
32.64,2.77,1.55
34.45,2.26,1.37
31.74,0.51,0.82
33.71,3.18,1.42
82.71,2.19,-11.67
-17.84,-0.46,13.56
-16.04,-3.46,-12.86
-70.14,-2.51,0.1
-73.11,0,1.38
82.66,0,-11.89
33.3,0.15,-25.15
-16.94,3.4,-12.61
83.16,-0.82,12.35
-17.99,1.2,-12.86
33.57,-2.96,-1.25
-11.77,-1.26,-13.25
36.19,0.85,-1.14
35.51,1.1,-1.79
35.33,-2.81,-1.9
35.19,-3.97,-2.31
35.4,-1.2,-2.78
-15.63,2.41,10.71
32.46,-0.03,-1.33
35.04,-0.2,-2.06
-18.91,-0.07,11.36
81.56,-1.09,-14.35
33.61,2.1,-2
-15.3,0.98,-15.69
34.63,-0.41,-2.01
34.36,-0.54,-1.86
31.04,-2.33,-0.93
83.45,-1.35,-14.2
-19.14,3.99,11.64
-69.91,52.1,-1.13
129.13,-46.79,-0.76
32.01,1.64,-26.26
32.1,2.92,-26.39
32.78,4.69,-0.85
79.4,2.22,-12.86
29.19,1.54,-0.3
-22.96,0.89,-13.7
34.16,1.37,0.44
35.38,2.3,-0.87
35.87,2.09,-0.71
36.59,2.03,-1.16
81.62,2.45,-12.9
82.81,1.42,-13.93
-17.91,-0.31,11.58
33.89,1.67,-27.25
-14.35,1.15,-13.94
-16.91,3.2,-14.12
33.88,1.66,0
31.49,0.05,0.1
-17.32,2.41,12.17
34.09,4.34,-1.16
32.53,0.76,-0.82
34,0.63,-0.52
32.44,3.62,0.13
32.87,2.78,-0.38
82.24,1.2,-12.75
84.53,4.85,-13.61
34.07,4.52,-0.88
34.56,3.05,-1.07
35.74,1.41,-0.77
87.59,-0.38,12.09
37.97,2.74,-1.4
35.74,1.04,-2.56
37.07,2.23,-2.25
36.8,1.92,-2.74
-17.82,2.7,10.72
-14.67,3.9,9.98
-67.32,2.09,-3.22
28.22,2.6,-27.25
35.82,2.7,-26.71
-14.02,-0.76,-14.16
35.87,-0.52,-1.02
35.1,0.07,-1.18
32.35,-0.41,-0.98
33.66,3.46,-0.83
34.81,1.49,-1.48
36.05,1.62,-1.46
34.59,-0.66,-2.29
35.55,2.78,-2.32
33.39,0.86,-2.75
33.18,0.19,-2.63
32.28,-2.12,-2.38
33.95,0.49,-2.56
32.39,0.74,-1.32
85.29,0.43,-14.82
-19.32,-2.12,10.93
76.23,-0.65,-14.19
-16.47,-50.72,-13.36
34.22,-1.86,0.2
34.97,1.65,-0.57
33.36,1.2,-0.94
-15.88,0.54,-13.68
-18.15,0.48,-14.06
-72.57,4.43,-0.49
28.99,0.52,-25.24
28.27,-2.66,1.26
27.36,-3.13,1.81
31.58,-0.97,1.75
35.13,-1.22,2.01
35.83,-0.21,0.87
34,1.05,1.59
-18.08,-1.22,13.77
-16.24,-1.59,12.6
29.53,-3.08,0.55
31.45,-0.93,1.18
-17.66,0.3,14.47
83.49,-0.86,-11.28
33.77,1.38,0.8
-16.68,2.1,-12.08
32.58,2.54,1.32
80.62,1.08,-11.38
33.34,-3.13,0.44
32.17,1.11,1.76
33.75,-0.68,1.19
-16.12,-2.23,-11.81
32.94,-0.62,1.68
35.1,0.85,0.27
130.43,-1.48,1.35
29.69,1.9,0.38
30.52,2.47,0.43
33.12,-2.23,0.57
81.9,-2.09,-11.5
-67.04,0.41,0.52
-17.73,-0.87,-12.16
-15.45,-1.92,-12
-14.39,-1.61,-11.9
35.31,-0.51,0.27
32.06,1.86,0.34
35.71,-0.62,0.15
35.26,-0.1,-0.32
32.31,-0.51,0.51
34.11,-1.93,-0.54
31.92,-1.9,-0.07
85.32,0.24,-12.71
33.88,2.95,-0.35
-13.89,-0.15,-13.45
31.85,1.57,0.06
33.86,-0.37,-0.1
-13.59,-1.09,-13.3
36.95,-0.57,-0.82
34.67,0.48,-0.98
33.73,3.44,-0.99
33.61,2.18,-0.99
34.2,-0.24,-1.04
33.97,-1.24,-0.4
34.34,-0.57,-0.03
34.61,0.15,-0.12
35.42,2.1,-0.13
35.69,3.55,-0.13
32.53,2.96,0.32
33.37,2.65,0
35.19,0.57,-0.34
35.35,0.71,-0.38
36.41,-2.74,-0.78
35.6,0.57,-0.82
35.58,-1.63,-1.64
35.92,-1.68,-1.86
33.41,-2.3,-2.47
32.19,-4.27,-2.67
33.46,-6.53,-2.48
32.01,-1.68,-2.01
35.69,-5.16,-1.94
81.79,-2.12,-14.11
-15.17,-2.53,11.23
35.29,-1.73,-26.26
-14.65,-4.1,-14.25
-16.31,-0.68,11.6
33.84,-1.72,-1.33
-16.17,0.41,-13.42
37.4,-3.68,-1.63
84.79,-5.81,-13.01
-16.87,-4.1,11.86
30.97,-2.71,25.79
84.72,0.15,13.07
86.73,-3.55,13.31
84.93,-1,-11.9
-17.81,-1.95,13.19
85.43,0.31,14.33
34.13,1.42,-24.08
133.94,-1.37,2.28
-14.14,-2.14,-11.72
-14.13,-3.86,13.65
-9.78,-3.44,-11.73
38.94,-1.42,0.24
37.22,-2.95,0.55
36.66,-2.56,-0.06
39.41,-1.95,-1
38.22,-1.54,-2.06
36.62,-4.41,-2.64
34.68,-4.05,-2.09
84.78,-1.48,-14.39
33.79,-2.12,-1.2
33.21,-3.48,-1.6
34.22,-1.62,-1.61
32.39,-1.6,-2.21
30.03,0.35,-27.34
83.27,1.09,-14.3
-23.13,1.43,-13.21
27.66,1.52,0.15
34,0.93,0.68
34.04,-3.57,0.57
34.95,-2.27,0.55
-17.81,-2.56,14.16
35.1,-0.34,0.93
35.67,-2.47,0.71
33.41,2.82,26.6
131.14,1.75,1.04
-66.14,2.77,-1.33
30.66,1.15,-24.95
32.76,2.49,0.6
-15.6,3.57,-11.89
35.37,0.7,0.15
34.76,-2.14,0.2
33.82,-2.95,-0.15
31.83,0.91,0.03
34.45,-3.02,-0.93
34.7,-0.65,-0.87
80.97,0.38,-12.82
-15.16,-2.36,-13.43
31.92,-0.83,0.41
-68.59,0.74,-0.15
-23.05,3.88,-13.5
-15.54,-1.26,-13.54
33.21,0.12,-0.2
33.28,2.07,-0.06
33.09,1.97,-0.17
33.45,-0.1,-0.23
34.67,-1.55,-0.23
83.07,0.46,-11.87
32.04,-5.35,-0.57
34.85,-0.1,-1.25
79.67,-2.21,-13.28
-72.35,-52.74,0
30.66,-1.56,-0.74
-15.29,1.43,-12.48
32.33,0.13,-0.41
33.62,-2.84,-0.76
33.5,-0.83,-0.54
32.94,-1.48,-1.08
31.83,-0.65,-1.14
30.27,-2.1,-1.08
-19.05,-0.76,11.71
34.22,-0.68,-0.71
-15.72,-3.97,-13.25
34.58,0.19,-0.85
31.22,-1.24,-1.08
-21.77,-2.27,-13.65
-22.12,0.07,-13.4
83.38,0.99,12.9
35.4,-2.05,-0.1
34.36,-0.55,-0.87
33.28,-2.59,-1.09
33.64,-0.63,-0.27
32.46,-3.75,-0.6
32.12,-2.05,-0.49
33.77,-3.28,-0.74
33.5,-1.75,-0.86
32.04,-2.3,-0.51
32.33,-4.12,-0.57
34,-0.15,-1.2
33.41,-1.54,0.21
28.36,45.1,0.81
-69.47,0.77,-0.35
-16.45,2.07,-12.53
36.8,1.13,0.46
-14.42,-0.6,-12.8
34.13,1.04,-0.2
37.13,-2.5,-0.62
34.31,-3.42,0.1
35.21,-3.03,-0.74
35.64,-1.25,-0.21
84.5,-0.96,-12.83
34.7,-2.31,0.03
32.31,0,0.43
34.86,-0.63,-0.21
-16.26,2.03,13.23
-14.92,2.96,12.62
85.07,1.87,-13.26
33.16,-46.93,-25.08
-65.82,0.65,0.3
-68.19,1.49,-0.37
-14.88,0.81,-11.59
36,-1.09,1.04
36.61,-1.64,0.76
36,-1.36,0.46
34.18,-2.07,0.73
32.35,-0.81,1.22
31.56,-1.02,0.71
36.37,1.96,1.86
36.23,0.7,1.11
37.63,-1.41,0.57
36.91,46.72,0.76
37.2,1.26,0.38
36.73,-0.51,-0.12
-15.91,48.35,-13.27
33.62,49.23,-0.44
86.34,-0.59,12.7
36.91,0.73,-0.86
33.77,0.28,-0.28
31.9,2.16,-0.43
32.49,-1.66,-0.74
33.57,-1.18,-26.48
33.21,-4.06,-0.74
-12.88,-3.28,-13.68
-15.03,-3.51,-13.52
-17.4,1.04,-14.12
-13.06,51.49,-13.51
81.18,-0.41,12.73
34.11,-1.51,-0.31
-15.11,-1.33,-13.54
34.11,1.63,-0.43
-19.39,-2.39,-13.45
-18.2,-1.11,-14.22
-11.9,1.41,-12.42
36.95,1.59,0.35
35.78,-1.47,-0.49
35.8,-0.73,-0.46
85.39,0.38,-13.58
86.25,-1.64,-14.06
-15.76,-2.31,10.75
-70.82,-4.6,-1.65
-67.93,-5.55,-0.55
80.79,-1.81,13.27
-16.06,-3.44,-13.27
-15.08,-4.67,-12.72
33.88,-0.01,-0.77
34.97,0,-1.03
34.86,-0.88,-1.53
34.18,-1.7,-1.84
35.87,-2.42,-2.19
32.55,-2.42,-1.81
33.59,-2.88,-1.53
36.34,-1.81,-2.2
34.38,-2.08,-2.64
83.61,-1.71,10.52
31.99,0.1,-2.21
32.4,-1.15,-2.94
31.38,-2.14,-2.76
34.61,1.53,-2.77
34.81,0.57,-2.08
-17.55,-1.16,-15.46
85.11,2.19,10.77
-15.62,-2.75,-14.92
83.66,-2.11,11.32
35.83,3.61,-1.9
35.44,0.89,-2.22
34.92,-1.16,-2.61
33.71,-0.31,-2.69
37.11,-4.25,-3.08
34,3.37,-2.05
24.93,2.7,-0.7
-25.24,-0.13,-13.68
29.78,-0.24,0.28
31.72,-0.41,0.63
33.82,-1.07,1.09
33.71,-1.37,1.22
33.46,-0.86,0.87
34.74,-1.59,0.31
36.28,2.45,-0.03
34.36,1.09,-0.38
33.66,-0.31,-1.7
35.62,-1.42,-1.13
30.3,-3.11,-1.04
31.7,0.54,-1.22
81.55,-0.74,11.86
81.95,-0.74,11.82
83.78,-0.54,11.58
-17.8,-1.66,11.58
29.89,-2.12,-26.57
81.69,0.6,11.67
-15.88,-0.17,-13.6
33.88,-2.44,-1
31.43,-2.94,-0.6
31.92,-2.5,-0.1
31.79,-0.06,0.01
33.88,-1.26,0.15
-15.89,-2.2,-12.71
33.43,-1.87,0.82
38.01,-1.7,0
85.78,-0.63,-12.72
29.4,-1.37,26.49
35.26,-2.43,0.76
-17.54,2.27,-12.3
36.25,-0.62,0.49
36.79,-0.6,0.27
-17.66,-2.56,-12.38
31.31,-1.83,0.37
33.91,0.35,-0.3
37.16,-1.09,-0.52
36.07,-0.38,-1.05
30.91,1.56,-0.2
32.69,-1.62,-0.98
32.3,-1.31,-0.6
81.51,-0.85,-12.72
-16.61,-3.68,11.49
29.64,0.26,-26.32
34.65,-0.68,24.31
79.76,0.19,-12.83
30.91,-1.26,0.15
-14.55,-4.19,-13.6
-67.33,-3.79,0.41
27.45,-2.55,-25.92
-15.72,-0.4,-14.05
129.64,-2.01,0.03
-14.18,-2.64,-12.37
-17.94,-0.48,-13.31
35.53,-1.48,-0.38
34.54,-0.03,-0.15
32.89,-1.89,0.05
31.94,-1.31,0.35
33.28,-1.98,-0.65
83.67,-1.78,-13.15
-17.09,0.49,12.79
-22.15,-0.59,13.09
83.5,-0.81,13.09
80.64,0.31,11.76
84.82,1.08,11.4
34.34,0.32,-0.87
30.09,-0.76,-1.04
32.69,-2.52,-0.98
30.86,1.95,-0.21
36.41,4.08,0.43
32.98,2.55,-0.59
32.39,-0.6,-0.87
-17.14,-2.47,12
34.29,-1.53,0.06
34.22,0.13,-0.35
84.06,-1.31,-12.83
-66.5,-0.74,-0.6
37.16,-0.97,-0.06
33.05,-0.41,-0.83
34.09,-0.77,-0.57
33.28,-3.75,-0.92
33.88,-2.74,-0.49
79.54,-3.13,-12.46
-19.75,1.68,13.01
-18.33,-1.43,13
35.58,-1.35,-0.57
-65.46,-0.2,-0.41
35.38,0.2,-0.6
35.87,0.03,-2.01
34.9,-1.7,-1.15
-70.56,-0.76,-0.87
-70.45,-2.74,-1.7
-16.59,-0.23,-13.4
-16.68,2.76,-12.97
79.37,2.09,-11.93
-65.28,0.55,-0.49
-66.54,0.52,0.1
34.94,1.09,0.38
89.34,0.15,12.83
87.45,-1.4,12.28
-60.31,-0.91,-0.82
33.77,-0.15,-26.73
-11.76,0.66,-13.51
-11.06,0.71,-14.55
-9.92,1,-14.04
-65.59,1.77,-1.26
-15.62,6.67,-13.58
87.01,6.31,13.08
35.51,0.63,-0.31
36.68,-2.72,-0.65
35.51,-3.18,-0.31
34.16,0.65,0.66
36.43,0.81,0.46
36.86,0.4,0.57
37.9,-0.4,0
37.83,0.86,-0.41
35.46,-0.06,-0.31
37.97,1.72,-1.04
36.01,0.57,-1.05
35.89,-0.76,-1.41
-15.73,0.43,11.32
29.57,1.56,-0.52
32.39,2.18,-1.26
-12.72,1.1,-13.48
36.1,-0.93,-1.38
37.59,-0.63,-1.09
34.47,-0.03,-0.71
34.13,2.45,-0.99
36.61,1.19,-0.74
36.8,-0.96,-0.7
36.91,-1.54,-0.8
36.59,1.25,-0.73
37.11,0.99,-1.3
83.67,0.46,-13.72
-15.41,-1.89,-14.55
-12.8,1.48,-13.86
36.86,-0.66,-0.77
-11.52,0.38,-14.12
37.13,0.71,-0.65
35.94,-0.07,-0.68
35.96,-0.59,-1.32
39.07,-0.17,-1.3
37.86,0.41,-1.44
37.18,1.59,-1.87
37.47,-0.68,-2.72
34.45,-1.19,-1.87
36.5,0.89,-1.73
37.09,0.54,-2.26
37.86,0.52,-3.22
37.2,1.32,-3.31
35.01,-0.48,-3.37
32.19,1.57,-2.8
36.12,0.78,-3.66
-15.37,1.84,-16.55
-18.69,1.73,-16.53
34.68,0.83,-3.05
33.21,2.84,-2.96
-66.44,2.91,22.17
32.94,0.71,-3.37
-18.59,3.92,-16.05
35.22,3.15,-2.48
33.82,2.49,-3.15
32.78,2.19,-3.06
33.07,2.32,-2.82
32.26,5.46,-2.52
31.45,3.37,-2.36
30.41,2.03,-2.41
30.75,3.35,-2.54
-16.36,2.84,-14.66
-16.88,1.83,-14.81
-14.3,1.82,-14.49
32.22,3.5,-27.21
-17.47,4.52,10.93
-18.93,1.38,-14.95
-17.29,1.2,-13.74
-18.26,-0.15,-14.33
33.28,2.61,-1.4
33.7,2.12,-1.42
33.93,1.25,-1.36
35.53,2.03,-1.42
35.78,1.32,-1.81
-21.78,5.26,-14.59
-17.59,2.89,-15.86
-14.81,0.65,-15.06
-15.57,-0.98,-15.72
-14.48,2.97,-14.63
-16.93,1.55,-14.46
-17.56,-0.82,-14.63
30.73,2.21,-1.15
-19,1.36,-14.31
33.5,2.85,-0.66
31.43,2.98,-0.62
33,1.47,-0.55
32.06,0.6,-0.77
32.92,-1.64,-0.87
31.34,-1.35,-0.2
30.98,-2.99,-0.7
35.98,-1.63,-0.12
33.91,-1.09,-0.6
34.4,-2.4,-0.63
34.74,-0.63,-1.16
34.54,1.66,-0.81
34.61,-1.42,-1.15
33.25,-0.76,-1.76
34.92,1.09,-1.42
34.9,-0.8,-1.7
34.04,-2.66,-2.1
30.21,0.01,-1.53
31.02,-1.42,-2.21
30.93,1.31,-1.67
79.68,1.08,-13.89
-75.41,-1.19,-0.89
-22.42,-4.06,-13.05
-68.4,-3.42,0.65
31.45,-1.95,0.57
82.27,0.24,13.18
83.45,2.8,13.63
84.65,1.41,-11.64
84.85,-0.62,-12.07
-17.47,0.8,-11.72
-18.65,1.49,-13.13
29.91,-48.19,0.38
-14.36,-1.52,-12.31
37.99,2.71,0.63
34.56,-2.63,0.03
36.95,-2.01,-0.71
34.58,-0.55,-0.23
32.01,-0.57,-0.82
35.15,0.57,-0.7
35.44,0.38,-26.69
86.68,0.43,11.32
-67.89,-2.7,-0.71
84.86,-0.77,12.02
-13.51,-0.46,-13.26
-15.08,-0.03,-12.86
32.71,1.48,0.43
81.84,-0.15,13.47
30.5,-1.19,0.62
31.45,-0.12,1.04
32.62,-1.53,0.98
35.12,2.78,1.09
33.43,-0.89,0.65
34.88,-0.2,-0.49
30.82,2.16,0.46
32.55,-0.82,0.54
31.34,0.03,0.57
32.12,-2.52,0.48
30.32,-0.54,0.68
31.72,-1.86,0.87
32.91,-0.24,0.83
34.47,-1.6,0.77
34,-1.75,0.38
34.49,-0.96,0.01
35.31,0,-0.44
32.24,-2.07,0.57
32.94,-2.54,-0.74
33.95,-2.7,-0.87
32.28,-1.61,-0.1
33.43,-0.51,0.08
34.16,1.13,-0.03
32.13,0.63,-25.97
36.19,1.35,-25.83
-63.65,0.76,-0.74
37.68,1.49,-25.78
36.73,0.38,-24.93
-63.08,-1.63,-1.48
-13.72,1.33,-14.06
82.74,-1.56,-13.65
31.83,0.49,-1.11
-15.2,0.38,11.51
33.52,-1.61,-1.16
-17.76,-2.58,-14.48
-67.86,-2.17,-0.1
82.17,-2.84,12.55
-18.15,-2.81,-13.69
31.81,0.57,0
-18.18,-1.93,-13.42
32.82,-2.75,-0.7
35.22,-2.17,-0.31
37.02,-1.49,-0.73
83.92,0.98,-13.24
-16.11,0.41,11.86
32.46,-1.31,-0.93
30.95,-1.71,-26.78
-19.64,-0.41,-12.79
-17.13,-3.24,-13.24
-16.57,2.17,-13.07
36.66,-1.26,0.4
35.49,-0.82,-0.08
36.05,0.19,0.2
33.7,-2.2,-0.43
33,1.46,0.06
33.91,-5.35,-0.13
-18.12,-3.15,-13.16
-19.84,0.21,-13.34
36.48,0.4,0.41
38.31,-0.41,-0.98
-18.36,0,12.63
-17.94,-2.96,-13.48
-68.01,-1.96,-0.76
-70.28,-5.81,-0.37
-71.82,-53.32,-0.07
-18.61,-1.14,-13.16
-16.4,-2.03,-13.15
32.74,-0.38,-0.71
29.51,-1.15,0
32.51,-0.98,-0.51
31.74,-0.73,-0.32
32.49,1.44,-0.38
32.94,2.39,-0.68
31.88,1.15,0.65
27.61,0.6,0.35
30.97,0.76,-0.03
-16.04,-0.07,-13.54
-68.52,3.18,-1.6
26.42,-0.96,-25.65
-70.16,1.16,-0.15
-68.62,1.46,-0.83
32.01,-0.38,-26.37
80.83,1.78,12.86
28.85,0,-24.63
31.85,-0.17,0.03
-70.09,-0.46,-0.44
-20.8,1.16,-13.48
-17.61,0.63,-12.6
29.73,-1.64,-0.05
28.88,-2.95,0.03
32.67,-0.63,-1.05
30.8,-0.65,-0.52
-69.56,-2.2,-1.85
32.74,-0.98,-1.2
29.98,-0.52,-1.03
29.91,-0.4,-0.65
29.22,-3.99,-1.08
31.49,-0.68,-0.92
31.76,-3.61,-1.37
31.38,-2.07,-1.29
79.72,-2.3,-13.89
74.75,-0.24,-13.13
-23.95,3.86,-13.54
-23.84,-2.74,-13.31
-20.81,-1.61,-12.59
-22.95,-2.55,-12.11
30.23,-1.64,1.43
31.88,-3.37,1.15
32.87,1.6,2
33.68,-0.74,0.62
31.42,-1.16,0.78
31.09,0.97,1.46
30.05,2.31,1.77
32.48,2.73,1.04
33.34,3.24,0.98
-66.58,0.13,-0.28
-18.79,-2.94,-12.63
33.36,-1.07,-25.13
32.62,-1.97,-25.15
-68.04,-4.47,0.54
-16.73,0.93,-12.84
-16.07,-4.6,-13.28
-18.19,-1.25,-12.42
82.26,1.44,12.83
29.89,-2.27,-0.46
31.49,-5.6,0.3
-20.72,-3.57,-12.89
-65.96,-2.61,-0.06
-69.34,-1.7,-0.38
35.78,-1.15,-25.11
131.42,0.87,0.35
-18.17,2.63,12.16
-18.27,3.11,-13.14
32.28,3.94,0.13
31.61,2.5,0.57
29.46,0.17,0.06
33.14,-1.35,0.43
30.48,1.6,-0.2
33.93,1.9,-0.26
33.91,1.95,-0.62
34.65,1.82,-0.8
32.96,0.96,-0.54
31.13,-1.2,-0.65
32.35,1.33,-1.27
-17.84,2.08,-14
-16.86,2.01,-14.3
30.88,1.88,-0.94
-18.21,0.57,11.81
-69.34,0,-1.7
-71.13,-0.35,-1.48
-19.85,-1.61,-13.97
28.81,-0.73,-26.3
32.89,0.06,-0.65
29.35,-3.88,-0.77
30.91,-3.24,-0.91
31.86,-1.55,-0.89
30.77,-1.75,-1.15
29.51,0.27,-0.52
29.33,-2.23,-1.13
28.81,-4.36,-0.52
28.51,-3.77,-1.71
-22.24,-3.17,-13.65
-22.34,-2.3,-13.88
30.03,-1.35,-0.15
27.82,-2.1,-0.06
29.64,-0.01,-0.49
-22.64,-5.11,12.62
25.99,-0.52,-26.06
-20.2,-3.28,-13.53
79.4,-2.63,-13.07
-22.6,1.2,-13.51
28,-0.1,-0.03
28.02,-3.68,-0.06
-21.26,-0.52,-12.91
26.78,-1.74,0.51
28.08,-0.74,0.93
28.9,-2.88,0.21
27.82,-1.9,-25.2
-20.01,-2.45,-12.26
27.12,-2.84,0.37
28.15,-1.22,0.46
29.55,-2.26,0.24
30.79,-0.73,0.28
30.98,-3.42,0.23
30.66,-2.67,0.17
32.8,0.55,-0.06
79.51,-0.1,-12.51
29.85,-2.63,-0.13
-69.47,-2.96,-0.6
27.97,-5.38,-25.47
31.29,-2.38,-25.35
-20.41,-1.77,-12.89
28.36,2.71,-25.15
-18.09,4.54,-12.57
-20.04,3.29,-12.99
34.36,3.06,0.1
33.16,0.89,-0.57
31.56,-0.37,-0.98
29.42,2.17,-0.52
29.55,0.07,-0.19
28.29,0.46,-0.31
28.45,0.24,0.15
28.38,0.23,0.06
25.11,2.74,0.74
27.18,3.03,0.46
26.64,3.99,0.46
29.12,3.95,1.53
29.13,4.36,1.92
-69.49,1.37,0.91
-22.12,0.32,14.21
28.4,-0.87,-23.61
31.38,51.56,-22.92
-19.28,2.14,-11.1
-15.88,1.42,-10.62
37.09,1.31,1.54
36.43,2.16,0.81
35.15,-0.32,0.68
34.36,1.71,0.2
28.94,1.53,1.09
-20.11,1.27,-12.12
32.12,4.74,1.61
81.79,0.27,14.01
32.76,0.98,0.89
32.57,1.64,0.03
31.88,2.64,0.35
-19.74,0.81,-13.06
-69.12,-0.24,-0.26
-68.3,-0.13,-0.86
-18.05,49.41,-13.51
-68.7,1.97,-0.3
-21.2,1.44,-12.29
-18.47,-0.1,-12.29
30.12,1,0.46
29.78,0.7,0.52
31.69,-0.27,0.3
30.14,-1.79,0.82
30.82,-2.11,-0.03
28.67,-2.63,0.06
30.48,1.25,-0.31
28.24,-3.1,0.19
29.19,-0.96,0.23
24.43,-0.2,0.65
-27.2,-3.62,-11.9
-29.53,-4.96,-11.42
23.22,-5.09,2.81
24.84,-3.31,2.74
29.91,-1.9,2.86
30.12,-0.74,3.75
31.67,-0.01,3.24
33.61,-1.37,2.2
32.64,1.59,2.4
-17.87,0.44,13.27
30.41,1.35,1.46
-17.57,2.85,-11.99
33.98,-0.63,-25.44
-22.54,-50.23,-12
-18.73,-51.23,-11.19
29.55,-1.7,0.38
-20.81,-1.82,-12.16
30.59,-1.78,0.82
31.2,-1.7,0.65
82.24,-1.79,-12.88
-71.85,-2.56,-0.24
-23.74,-2.3,-12.89
-24.14,-1.53,-12.26
-75.34,-1.33,1.02
-19.49,-2.63,-11.99
-19.48,-1.68,-12.15
78.07,-1.21,13.75
-74.52,-3.24,1.05
-23.65,52.18,-11.93
-19.61,-2.63,-11.11
-20.09,-1.13,-12.81
77.3,1.22,-11.21
-74.37,-1.37,1.2
-22.43,3.18,-11.63
-20.99,1.48,-11.34
29.37,2.14,1.21
28.74,2.85,1.38
26.84,2.03,1.51
29.62,2.05,1.71
29.21,0.37,1.66
28.72,0.41,1.22
28.67,0.63,1.27
28.61,0.94,1.07
30.14,-1.42,0.76
78.25,-0.03,-11.64
-22.47,-2.05,13.17
-25.47,-1.97,-11.87
-20.47,-2.85,-10.68
-23.36,-3.09,-11.06
-19.66,-3.22,-11.16
-21.34,-3.28,-11.58
-25.45,-5.44,-11.43
-23.63,-5.53,-10.3
27.82,-1.71,3.13
-22.4,-1.85,-10.45
-24.33,-0.49,15.29
78.35,1.51,-10.23
-22.99,-1.31,14.57
76.84,0.28,-10.83
23.93,2.21,-24.32
25.02,0,-24.08
-24.41,0.08,-10.79
27.93,0.43,27.54
76.52,0.01,14.09
-25.08,0.68,-11.11
27.79,1.15,1.88
-24.44,1.25,-11.54
27.16,0.43,1.4
-23.4,0.32,-11.96
26.98,-0.05,0.94
27.12,-0.35,0.43
27.11,0.37,0.76
-73.66,-0.24,0.23
-76.7,-1.9,1.62
-73.61,-1.56,0.66
-20.65,1.05,-11.9
-21.94,-2.96,-11.86
-24.07,-0.81,-12.04
-24.46,-1.48,-11.81
-24.12,-2.7,-11.19
-24.48,-3.4,-11.41
25.6,-2.6,-24.12
-75.04,-1.71,1.37
-26.98,-0.2,14.46
-26.85,0.63,14.09
