uf,vf,wf
29.24,2.98,1.7
30.12,2.03,2.15
28.56,1.7,2.15
27.725,1.51,2.005
26.89,1.32,1.86
27.97,2.06,2.05
30.46,2.1,2.12
30.98,0.93,1.81
30.46,1.42,1.29
28.69,2.52,1.51
27.86,0.81,1.02
28.36,-0.78,0.89
30.68,-2.28,0.6
30.14,-0.03,0.78
32.46,1.73,0.0
27.77,-1.09,0.91
27.95,-0.26,0.93
27.91,-1.48,1.09
27.18,-1.29,0.81
28.99,-1.64,0.94
29.89,-0.905,1.045
30.79,-0.17,1.15
29.01,-0.07,0.78
28.88,1.03,0.6
28.925,-0.47,0.81
28.9475,-1.22,0.915
28.9588,-1.595,0.9675
28.9644,-1.7825,0.9938
28.97,-1.97,1.02
30.93,-2.805,0.835
32.89,-3.64,0.65
31.38,-2.05,-0.38
31.11,-1.94,-0.24
28.2,-0.78,0.74
31.49,0.63,1.53
32.8,-1.1,1.22
34.43,-0.15,1.66
34.07,-1.19,1.29
33.73,-0.27,1.15
29.78,-0.6,0.83
29.39,-1.08,0.2
28.02,-1.43,0.87
28.47,0.78,1.48
28.99,-0.24,0.78
29.25,-0.75,0.43
29.51,-1.26,0.08
31.53,-2.77,-0.835
32.54,-3.525,-1.2925
33.045,-3.9025,-1.5212
33.55,-4.28,-1.75
32.59,-1.64,-1.06
32.11,-0.32,-0.715
31.87,0.34,-0.5425
31.75,0.67,-0.4562
31.69,0.835,-0.4131
31.63,1.0,-0.37
31.92,1.73,0.41
31.06,2.63,0.78
31.4,-3.73,0.4
30.41,1.51,0.57
32.08,-3.35,0.15
33.03,2.08,-0.3
31.67,0.38,-0.07
28.74,-0.86,0.15
29.21,-0.88,0.98
27.95,-1.82,0.97
29.485,-1.65,0.92
30.2525,-1.565,0.895
30.6362,-1.5225,0.8825
30.8281,-1.5012,0.8762
31.02,-1.48,0.87
29.735,1.1,0.87
28.45,3.68,0.87
29.51,4.01,0.82
31.88,1.71,0.62
30.88,2.61,1.02
31.69,2.81,0.26
30.36,3.68,0.55
31.76,-1.4,0.07
28.38,-0.49,-0.01
31.72,1.47,0.57
27.86,2.19,0.98
26.79,2.34,1.01
25.72,2.49,1.04
27.275,3.0,0.52
28.83,3.51,0.0
32.33,2.28,-0.44
29.51,3.46,0.4
30.13,2.33,0.415
30.44,1.765,0.4225
30.595,1.4825,0.4262
30.6725,1.3412,0.4281
30.7112,1.2706,0.429
30.7306,1.2353,0.4295
30.7403,1.2176,0.4298
30.7452,1.2088,0.4299
30.75,1.2,0.43
28.42,1.98,0.98
31.88,1.37,0.34
30.23,2.91,0.24
30.13,2.315,0.145
30.08,2.0175,0.0975
30.03,1.72,0.05
30.57,3.68,0.43
31.29,-0.98,-0.41
31.06,-2.01,-0.41
29.67,-1.62,-0.06
31.72,-1.18,-0.13
30.18,-0.7,-0.35
30.7,-2.06,-0.72
31.22,-3.42,-1.09
30.16,-3.685,-0.37
29.63,-3.8175,-0.01
29.1,-3.95,0.35
29.315,-2.57,0.275
29.53,-1.19,0.2
28.69,0.51,0.0
28.76,0.0,-0.15
30.34,0.03,-0.68
28.88,0.03,-0.51
25.49,-3.08,-0.41
26.44,-1.82,-0.43
29.35,-1.0,-0.99
27.64,-2.07,-0.1
27.52,-0.99,-0.43
26.96,0.57,0.4
27.14,3.1,0.31
25.63,4.12,0.38
26.91,2.76,0.54
30.93,0.76,-0.31
29.665,1.255,-0.375
28.4,1.75,-0.44
26.93,2.12,0.12
29.92,1.53,-0.31
29.04,0.05,-0.27
28.16,-1.43,-0.23
29.96,0.09,-0.03
30.86,0.85,0.07
31.76,1.61,0.17
31.22,-0.87,-0.05
31.76,-2.23,-0.31
30.5,-0.93,-0.76
29.3,-0.49,-0.68
27.97,-0.57,0.01
28.105,-0.085,0.315
28.24,0.4,0.62
29.765,0.275,0.625
30.5275,0.2125,0.6275
31.29,0.15,0.63
33.12,-0.355,-0.26
34.95,-0.86,-1.15
33.95,-0.49,-1.78
30.48,-1.75,-2.16
31.85,-0.31,-2.23
30.12,-1.87,-1.74
30.59,-0.4,-1.255
30.825,0.335,-1.0125
30.9425,0.7025,-0.8912
31.06,1.07,-0.77
30.27,-0.46,-0.99
28.88,0.86,-0.77
31.49,-1.57,-0.38
33.14,-1.64,-0.63
33.36,-0.76,-0.98
33.91,1.35,-1.13
34.0,-1.42,-1.38
32.8,0.74,-1.55
31.9,-0.35,-1.81
30.86,3.55,-1.3
33.28,3.37,-1.87
33.95,0.6,-1.84
32.145,-1.3,-1.14
30.34,-3.2,-0.44
29.53,-1.32,-0.86
32.91,-2.85,-0.17
34.54,-2.0,-0.41
33.39,-0.13,-0.98
35.04,0.77,-0.96
34.13,-3.48,-1.22
29.98,-0.93,-0.27
27.76,0.25,0.69
26.65,0.84,1.17
25.54,1.43,1.65
29.58,-2.83,2.51
30.36,-0.52,2.14
31.29,0.71,2.21
32.01,1.6,1.74
30.79,3.11,1.82
29.19,2.475,1.01
27.59,1.84,0.2
28.05,0.69,0.45
28.51,-0.46,0.7
29.13,1.61,1.43
27.43,0.82,0.63
24.66,-0.99,1.84
28.63,-0.28,0.82
28.56,0.98,0.38
27.41,1.18,0.57
26.06,0.19,0.97
27.95,0.26,0.86
25.52,1.9,1.33
26.33,2.56,1.42
26.55,1.83,0.98
26.21,0.8,0.87
24.28,-1.05,1.42
24.69,-1.87,1.88
27.39,-0.87,1.78
28.04,-0.15,2.55
29.55,0.2,2.09
30.03,-1.02,1.77
30.84,-0.91,1.46
28.49,-0.41,2.07
27.03,1.0,1.37
28.61,2.275,1.74
29.4,2.9125,1.925
29.795,3.2312,2.0175
29.9925,3.3906,2.0637
30.0912,3.4703,2.0868
30.1406,3.5102,2.0984
30.1653,3.5301,2.1042
30.1776,3.54,2.1071
30.19,3.55,2.11
29.1,4.32,1.76
28.275,2.35,1.31
27.8625,1.365,1.085
27.6562,0.8725,0.9725
27.5531,0.6262,0.9162
27.45,0.38,0.86
31.81,0.48,0.4
29.31,-1.31,1.31
29.035,-0.305,1.205
28.8975,0.1975,1.1525
28.76,0.7,1.1
26.71,0.96,0.8
26.98,0.62,0.66
26.6,1.75,0.66
25.78,-0.07,0.46
24.75,-0.17,0.8
28.235,0.19,0.98
31.72,0.55,1.16
27.5,-0.82,1.25
25.35,-2.84,0.96
26.11,-1.675,0.345
26.49,-1.0925,0.0375
26.68,-0.8012,-0.1162
26.775,-0.6556,-0.1931
26.8225,-0.5828,-0.2316
26.8462,-0.5464,-0.2508
26.87,-0.51,-0.27
26.23,0.05,-0.27
27.45,-2.12,-0.24
26.78,-0.82,-0.15
26.67,-0.57,-0.13
26.745,0.235,-0.325
26.7825,0.6375,-0.4225
26.82,1.04,-0.52
23.98,0.98,0.24
24.31,0.65,0.21
23.18,0.39,0.77
22.615,0.26,1.05
22.3325,0.195,1.19
22.1912,0.1625,1.26
22.1206,0.1462,1.295
22.0853,0.1381,1.3125
22.0676,0.134,1.3212
22.0588,0.132,1.3256
22.0544,0.131,1.3278
22.0522,0.1305,1.3289
22.05,0.13,1.33
27.12,1.36,1.47
27.97,1.78,0.68
26.35,1.03,0.27
26.69,0.63,0.17
27.93,0.6,0.13
26.69,0.07,0.23
29.015,-1.175,-0.155
31.34,-2.42,-0.54
29.6,1.13,-0.12
31.43,-1.53,-0.34
29.06,-1.31,-0.52
31.0,0.08,-1.09
30.975,-0.385,-1.285
30.95,-0.85,-1.48
30.305,-0.49,-1.495
29.66,-0.13,-1.51
33.79,1.02,-2.48
30.52,0.57,-2.52
28.6,-1.92,-2.19
27.27,-0.43,-2.17
30.64,1.56,-1.97
32.28,1.21,-2.7
30.28,2.78,-1.3
31.76,0.73,-2.1
29.24,1.89,-1.66
32.69,1.35,-2.47
31.675,1.075,-2.335
30.66,0.8,-2.2
31.0,-0.31,-2.03
31.83,-2.19,-2.31
27.5,-3.0,-1.74
32.64,-1.98,-2.23
30.52,-1.705,-1.04
29.46,-1.5675,-0.445
28.93,-1.4987,-0.1475
28.665,-1.4644,0.0013
28.5325,-1.4472,0.0756
28.4662,-1.4386,0.1128
28.4331,-1.4343,0.1314
28.4166,-1.4322,0.1407
28.4,-1.43,0.15
30.14,-2.14,0.55
29.35,-1.62,0.46
30.8,-1.32,0.48
28.54,-0.77,0.08
29.76,-0.83,0.38
30.77,-0.93,-0.43
30.43,2.62,-0.31
29.26,3.71,-0.345
28.675,4.255,-0.3625
28.3825,4.5275,-0.3712
28.09,4.8,-0.38
25.51,1.49,-1.07
27.815,0.46,-0.55
28.9675,-0.055,-0.29
30.12,-0.57,-0.03
30.46,-1.22,-0.71
28.67,0.71,-0.98
26.835,2.11,-0.92
25.0,3.51,-0.86
25.345,4.1,-0.065
25.5175,4.395,0.3325
25.69,4.69,0.73
27.23,3.18,1.41
29.31,0.01,1.72
27.52,0.76,1.62
28.81,-0.12,1.53
29.89,-0.07,1.53
31.18,-1.09,1.74
33.03,-0.83,0.78
33.91,-2.64,0.8
37.74,-2.38,-0.2
30.91,-3.79,-0.44
33.1,-3.5,-1.15
26.96,-2.74,-0.63
25.45,-2.96,-0.38
26.17,-4.69,0.26
26.81,-3.475,0.495
27.45,-2.26,0.73
27.32,-1.49,0.82
27.625,-1.3,0.855
27.93,-1.11,0.89
31.81,-0.38,1.11
30.34,-2.45,0.96
31.2,-1.24,0.86
29.465,-1.47,0.755
28.5975,-1.585,0.7025
28.1638,-1.6425,0.6762
27.73,-1.7,0.65
30.56,1.88,-0.165
31.975,3.67,-0.5725
32.6825,4.565,-0.7762
33.0362,5.0125,-0.8781
33.2131,5.2362,-0.929
33.3016,5.3481,-0.9545
33.3458,5.404,-0.9672
33.3679,5.432,-0.9736
33.379,5.446,-0.9768
33.3845,5.453,-0.9784
33.3872,5.4565,-0.9792
33.39,5.46,-0.98
32.3,3.22,-1.33
31.36,3.1,-1.89
34.13,3.55,-2.52
33.23,0.92,-2.3
32.78,-0.395,-2.19
32.555,-1.0525,-2.135
32.4425,-1.3812,-2.1075
32.3863,-1.5456,-2.0938
32.3581,-1.6278,-2.0869
32.33,-1.71,-2.08
30.45,1.15,-1.49
31.435,0.26,-1.365
31.9275,-0.185,-1.3025
32.1738,-0.4075,-1.2712
32.2969,-0.5188,-1.2556
32.3585,-0.5744,-1.2478
32.3893,-0.6022,-1.2439
32.4047,-0.6161,-1.242
32.4124,-0.623,-1.241
32.4162,-0.6265,-1.2405
32.4181,-0.6282,-1.2402
32.419,-0.6291,-1.2401
32.4195,-0.6296,-1.2401
32.42,-0.63,-1.24
30.09,-1.97,-1.98
30.45,-3.44,-1.94
29.965,0.14,-1.8
29.48,3.72,-1.66
32.69,1.75,-2.11
31.27,-1.65,-2.3
30.07,-4.23,-1.97
30.46,-1.42,-1.95
28.31,-2.71,-1.68
31.94,-3.31,-1.72
31.275,-1.795,-1.38
30.9425,-1.0375,-1.21
30.7762,-0.6588,-1.125
30.61,-0.28,-1.04
30.16,-2.01,-0.4
29.22,-2.21,-0.8
31.67,-3.17,-0.74
32.31,-5.05,-1.13
31.85,-4.78,-1.51
31.95,-5.9,-1.57
29.8,-5.57,-1.15
28.83,-3.92,-1.68
29.46,-2.74,-2.05
30.66,-1.695,-1.525
31.26,-1.1725,-1.2625
31.56,-0.9113,-1.1312
31.86,-0.65,-1.0
31.45,-0.87,-0.5
31.04,-1.09,0.0
29.055,-1.935,0.7
27.07,-2.78,1.4
31.94,-3.66,2.63
31.65,-4.41,2.22
30.68,-2.96,1.86
31.29,-1.77,2.15
30.27,-4.49,1.66
32.17,-3.79,1.64
30.73,-4.19,1.3
29.08,-2.23,1.67
28.24,-1.07,1.7
28.93,-0.63,1.48
29.275,-0.41,1.37
29.62,-0.19,1.26
30.05,-1.18,1.19
28.72,-1.18,0.57
28.81,-0.55,1.08
30.52,-2.88,0.41
28.56,-2.32,1.09
26.42,0.49,0.94
26.53,1.175,1.205
26.64,1.86,1.47
28.005,1.085,1.735
29.37,0.31,2.0
32.83,-0.03,1.53
30.68,0.34,1.08
29.91,-1.04,0.2
29.85,-3.68,-0.65
28.52,0.13,0.35
27.3,0.34,-0.03
26.71,-0.52,-0.54
27.43,0.12,-0.27
26.3,0.81,-0.24
22.52,0.65,0.71
22.57,5.71,0.57
24.08,0.77,1.11
28.97,-0.57,2.01
31.76,-0.76,2.08
33.21,0.54,1.48
34.18,-0.46,0.27
33.0,0.71,-0.03
29.96,-2.76,0.27
32.31,-2.55,-0.71
30.885,0.755,-0.455
30.1725,2.4075,-0.3275
29.8162,3.2337,-0.2638
29.46,4.06,-0.2
28.18,-0.38,0.0
32.26,-0.4,-0.48
30.91,-2.41,-0.46
31.45,-1.78,-0.46
30.39,-0.65,-0.57
32.03,-1.55,-1.03
31.22,1.6,-0.6
31.22,2.26,-0.93
34.11,1.31,-0.74
34.95,-0.24,-1.3
34.74,0.59,-1.48
34.79,2.45,-1.48
31.305,5.35,-1.44
29.5625,6.8,-1.42
27.82,8.25,-1.4
30.0,3.99,-0.43
28.2,2.08,0.27
31.58,0.89,0.46
27.88,0.57,0.35
27.48,-1.31,1.02
30.21,-0.86,2.03
31.29,1.3,2.63
31.72,1.37,2.33
33.105,0.485,0.385
33.7975,0.0425,-0.5875
34.1438,-0.1788,-1.0738
34.3169,-0.2894,-1.3169
34.4034,-0.3447,-1.4384
34.4467,-0.3724,-1.4992
34.4684,-0.3862,-1.5296
34.4792,-0.3931,-1.5448
34.49,-0.4,-1.56
36.19,-0.77,-2.49
30.32,-0.81,-1.98
30.3,-0.54,-1.15
32.43,0.755,-1.88
33.495,1.4025,-2.245
34.0275,1.7262,-2.4275
34.2938,1.8881,-2.5188
34.56,2.05,-2.61
36.55,2.16,-2.22
35.89,1.56,-2.41
33.25,0.74,-2.11
30.84,-0.96,-2.37
29.635,-1.81,-2.5
28.43,-2.66,-2.63
32.105,-1.115,0.05
33.9425,-0.3425,1.39
34.8612,0.0437,2.06
35.3206,0.2368,2.395
35.5503,0.3334,2.5625
35.6651,0.3817,2.6463
35.7226,0.4058,2.6882
35.78,0.43,2.73
35.22,0.44,2.44
35.57,2.235,1.27
35.745,3.1325,0.685
35.8325,3.5812,0.3925
35.8762,3.8056,0.2463
35.8981,3.9178,0.1732
35.909,3.9739,0.1366
35.92,4.03,0.1
35.51,-1.09,-1.31
32.53,0.19,-0.98
32.28,-0.27,-1.14
29.485,0.05,-0.91
26.69,0.37,-0.68
28.71,-0.385,-0.4
30.73,-1.14,-0.12
31.85,0.13,-0.21
31.02,0.06,-0.13
30.61,0.05,0.41
31.27,-0.76,0.28
30.68,-1.46,-0.21
32.06,-0.26,0.35
31.85,-2.41,-0.1
30.45,0.43,0.24
30.45,0.6,0.2
32.74,-1.26,0.19
31.43,-0.73,0.1
32.08,-2.11,-0.1
32.37,-1.93,-1.19
32.12,-3.1,-1.6
32.26,-1.21,-1.65
30.84,-2.525,-1.69
29.42,-3.84,-1.73
29.58,-0.41,-1.59
29.94,-1.94,-1.14
29.33,0.2,-0.3
26.96,3.57,0.68
26.82,0.23,0.65
30.09,-6.19,1.02
32.64,-5.33,0.665
35.19,-4.47,0.31
33.0,-4.65,0.4
29.92,-2.96,0.41
31.09,-4.06,0.23
32.51,-2.2,0.97
33.45,-0.74,0.49
33.095,-1.08,0.4
32.9175,-1.25,0.355
32.74,-1.42,0.31
35.03,-1.53,-0.325
37.32,-1.64,-0.96
34.735,-0.745,-1.1
33.4425,-0.2975,-1.17
32.7962,-0.0738,-1.205
32.15,0.15,-1.24
26.19,1.49,0.0
29.335,1.39,0.72
30.9075,1.34,1.08
31.6938,1.315,1.26
32.0869,1.3025,1.35
32.2834,1.2963,1.395
32.48,1.29,1.44
34.355,1.46,0.925
35.2925,1.545,0.6675
36.23,1.63,0.41
36.07,-0.63,-0.88
34.4,0.17,-0.82
33.565,0.57,-0.79
32.73,0.97,-0.76
35.06,-0.05,-1.49
31.22,1.62,-0.54
31.63,0.87,-0.91
33.03,1.84,-0.93
29.46,2.01,-0.98
30.66,2.91,-1.13
33.14,3.22,-1.535
35.62,3.53,-1.94
31.74,-0.08,-2.78
33.68,1.75,-2.99
23.53,-2.52,-0.93
25.13,0.68,-0.24
25.56,1.55,1.19
29.1,2.13,2.25
30.87,2.42,2.78
31.755,2.565,3.045
32.64,2.71,3.31
33.25,0.71,2.49
31.06,1.57,3.35
26.28,-1.15,3.86
28.22,-0.41,3.99
31.585,-0.09,3.365
34.95,0.23,2.74
34.89,2.285,1.965
34.83,4.34,1.19
33.625,2.41,0.08
33.0225,1.445,-0.475
32.42,0.48,-1.03
31.04,2.65,-1.02
27.59,4.08,0.12
26.19,2.74,-0.24
27.86,3.94,0.34
26.66,0.17,0.55
26.39,-0.77,1.21
26.14,-0.74,1.76
25.85,-4.69,2.1
29.35,-4.12,3.04
30.12,-3.84,3.15
31.61,-4.06,2.45
34.13,-4.43,1.54
33.84,-2.48,0.49
32.49,-3.66,0.82
26.28,-2.19,0.82
27.07,-1.97,1.26
30.195,-1.805,1.72
33.32,-1.64,2.18
31.94,-3.4,1.62
31.31,-2.17,1.6
30.445,-2.67,1.705
30.0125,-2.92,1.7575
29.7962,-3.045,1.7838
29.6881,-3.1075,1.7969
29.634,-3.1388,1.8034
29.607,-3.1544,1.8067
29.5935,-3.1622,1.8084
29.5868,-3.1661,1.8092
29.5834,-3.168,1.8096
29.5817,-3.169,1.8098
29.5808,-3.1695,1.8099
29.5804,-3.1698,1.81
29.5802,-3.1699,1.81
29.5801,-3.17,1.81
29.58,-3.17,1.81
29.58,-3.17,1.81
29.17,-6.25,1.31
29.19,-3.26,1.18
29.3,-4.5,1.14
30.98,-3.51,0.49
30.93,-3.045,0.45
30.905,-2.8125,0.43
30.88,-2.58,0.41
30.215,-1.405,0.255
29.8825,-0.8175,0.1775
29.55,-0.23,0.1
30.39,-1.15,-0.46
31.27,0.06,-0.01
30.64,-3.11,-0.15
32.24,0.87,-0.48
29.82,-1.09,-0.05
27.28,0.54,0.43
30.05,-1.1,0.34
30.32,3.02,0.55
31.345,2.25,1.21
31.8575,1.865,1.54
32.1137,1.6725,1.705
32.2418,1.5762,1.7875
32.3059,1.5281,1.8288
32.37,1.48,1.87
32.09,1.515,0.275
31.95,1.5325,-0.5225
31.88,1.5412,-0.9212
31.845,1.5456,-1.1206
31.8275,1.5478,-1.2203
31.81,1.55,-1.32
32.35,3.31,-1.68
35.74,4.25,-1.47
34.87,2.02,-1.445
34.0,-0.21,-1.42
35.87,-0.71,-1.26
39.64,0.85,-2.08
37.645,-1.015,-1.85
36.6475,-1.9475,-1.735
36.1488,-2.4138,-1.6775
35.8994,-2.6469,-1.6488
35.7747,-2.7634,-1.6344
35.65,-2.88,-1.62
33.75,-0.6,-1.7
33.43,-0.28,-1.32
33.62,-0.63,-1.32
35.4,1.76,-1.14
36.26,-0.51,-1.36
35.47,-1.62,-1.4
36.1,-1.38,-1.67
35.67,-0.52,-1.98
33.32,-3.86,-2.72
34.405,-1.89,-2.015
35.49,0.08,-1.31
32.94,1.59,-1.84
34.7,0.31,-1.81
35.435,-0.25,-2.07
35.8025,-0.53,-2.2
35.9862,-0.67,-2.265
36.0781,-0.74,-2.2975
36.124,-0.775,-2.3137
36.147,-0.7925,-2.3218
36.17,-0.81,-2.33
33.95,-1.38,-1.73
32.55,-1.99,-1.68
33.12,-0.98,-1.48
32.24,-2.06,-1.15
32.28,-0.19,-0.2
33.3,-0.59,0.17
33.82,0.12,-0.71
32.76,-1.75,-0.71
32.48,-1.6,0.21
35.62,-1.07,0.57
33.43,-1.96,0.13
34.49,-0.2,0.68
34.16,1.04,0.63
33.75,1.13,0.26
34.29,1.49,-0.37
34.52,-3.5,0.57
35.19,-2.43,-0.28
35.96,-2.425,-0.24
36.73,-2.42,-0.2
35.07,-2.01,-0.4
33.41,-1.6,-0.6
34.97,-1.93,-1.07
35.75,-2.095,-1.305
36.53,-2.26,-1.54
34.36,-3.03,-0.93
35.915,-0.29,-0.93
36.6925,1.08,-0.93
37.47,2.45,-0.93
36.32,-1.47,-1.09
34.15,-2.19,-1.53
33.555,-1.715,-1.465
33.2575,-1.4775,-1.4325
32.96,-1.24,-1.4
36.75,-2.5,-0.86
36.55,-0.85,-0.68
36.37,-0.82,-0.83
35.01,0.76,-0.71
35.19,0.58,-0.98
35.28,0.49,-1.115
35.325,0.445,-1.1825
35.3475,0.4225,-1.2162
35.3588,0.4112,-1.2331
35.3644,0.4056,-1.2416
35.3672,0.4028,-1.2458
35.3686,0.4014,-1.2479
35.3693,0.4007,-1.249
35.3696,0.4004,-1.2495
35.3698,0.4002,-1.2498
35.37,0.4,-1.25
34.61,3.37,-1.68
35.15,0.37,-2.03
36.21,0.71,-1.51
36.74,0.88,-1.25
37.005,0.965,-1.12
37.1375,1.0075,-1.055
37.2038,1.0288,-1.0225
37.27,1.05,-0.99
38.1,-1.31,-1.93
35.47,-3.13,-1.48
31.22,-2.41,-0.89
33.0,-2.08,-0.98
33.23,-1.15,-1.04
33.21,-2.78,-0.73
33.95,-1.7,-0.93
35.46,-1.25,-1.1
34.74,-1.36,-0.94
32.17,2.37,-1.21
34.59,3.84,-1.55
34.31,-0.24,-1.56
33.41,0.03,-1.51
33.52,-0.78,-1.7
34.68,-2.64,-1.3
34.99,0.1,-1.31
35.78,0.94,-1.13
35.19,0.46,-1.64
31.56,-1.2,-0.86
30.68,0.155,-0.38
29.8,1.51,0.1
29.71,2.08,0.63
32.64,2.77,1.55
34.45,2.26,1.37
31.74,0.51,0.82
33.71,3.18,1.42
33.64,0.11,0.085
33.605,-1.425,-0.5825
33.5875,-2.1925,-0.9162
33.5788,-2.5762,-1.0831
33.5744,-2.7681,-1.1666
33.5722,-2.864,-1.2083
33.5711,-2.912,-1.2292
33.5706,-2.936,-1.2396
33.5703,-2.948,-1.2448
33.5702,-2.954,-1.2474
33.57,-2.96,-1.25
34.88,-1.055,-1.195
36.19,0.85,-1.14
35.51,1.1,-1.79
35.33,-2.81,-1.9
35.19,-3.97,-2.31
35.4,-1.2,-2.78
33.93,-0.615,-2.055
32.46,-0.03,-1.33
35.04,-0.2,-2.06
34.325,0.95,-2.03
33.9675,1.525,-2.015
33.61,2.1,-2.0
34.12,0.845,-2.005
34.63,-0.41,-2.01
34.36,-0.54,-1.86
31.04,-2.33,-0.93
31.91,1.18,-0.89
32.345,2.935,-0.87
32.5625,3.8125,-0.86
32.6712,4.2513,-0.855
32.7256,4.4706,-0.8525
32.7528,4.5803,-0.8512
32.78,4.69,-0.85
30.985,3.115,-0.575
29.19,1.54,-0.3
31.675,1.455,0.07
34.16,1.37,0.44
35.38,2.3,-0.87
35.87,2.09,-0.71
36.59,2.03,-1.16
35.235,1.845,-0.58
34.5575,1.7525,-0.29
34.2188,1.7062,-0.145
34.0494,1.6831,-0.0725
33.9647,1.6716,-0.0362
33.9224,1.6658,-0.0181
33.88,1.66,0.0
31.49,0.05,0.1
32.79,2.195,-0.53
34.09,4.34,-1.16
32.53,0.76,-0.82
34.0,0.63,-0.52
32.44,3.62,0.13
32.87,2.78,-0.38
33.47,3.65,-0.63
33.77,4.085,-0.755
34.07,4.52,-0.88
34.56,3.05,-1.07
35.74,1.41,-0.77
36.855,2.075,-1.085
37.97,2.74,-1.4
35.74,1.04,-2.56
37.07,2.23,-2.25
36.8,1.92,-2.74
36.335,0.7,-1.88
36.1025,0.09,-1.45
35.9862,-0.215,-1.235
35.9281,-0.3675,-1.1275
35.899,-0.4438,-1.0738
35.8845,-0.4819,-1.0469
35.87,-0.52,-1.02
35.1,0.07,-1.18
32.35,-0.41,-0.98
33.66,3.46,-0.83
34.81,1.49,-1.48
36.05,1.62,-1.46
34.59,-0.66,-2.29
35.55,2.78,-2.32
33.39,0.86,-2.75
33.18,0.19,-2.63
32.28,-2.12,-2.38
33.95,0.49,-2.56
32.39,0.74,-1.32
33.305,-0.56,-0.56
33.7625,-1.21,-0.18
33.9912,-1.535,0.01
34.1056,-1.6975,0.105
34.22,-1.86,0.2
34.97,1.65,-0.57
33.36,1.2,-0.94
30.815,-0.73,0.16
29.5425,-1.695,0.71
28.9062,-2.1775,0.985
28.5881,-2.4188,1.1225
28.27,-2.66,1.26
27.36,-3.13,1.81
31.58,-0.97,1.75
35.13,-1.22,2.01
35.83,-0.21,0.87
34.0,1.05,1.59
31.765,-1.015,1.07
30.6475,-2.0475,0.81
29.53,-3.08,0.55
31.45,-0.93,1.18
32.61,0.225,0.99
33.19,0.8025,0.895
33.77,1.38,0.8
33.175,1.96,1.06
32.58,2.54,1.32
32.96,-0.295,0.88
33.34,-3.13,0.44
32.17,1.11,1.76
33.75,-0.68,1.19
33.345,-0.65,1.435
32.94,-0.62,1.68
35.1,0.85,0.27
32.395,1.375,0.325
29.69,1.9,0.38
30.52,2.47,0.43
33.12,-2.23,0.57
34.215,-1.37,0.42
34.7625,-0.94,0.345
35.0362,-0.725,0.3075
35.1731,-0.6175,0.2888
35.2416,-0.5638,0.2794
35.31,-0.51,0.27
32.06,1.86,0.34
35.71,-0.62,0.15
35.26,-0.1,-0.32
32.31,-0.51,0.51
34.11,-1.93,-0.54
31.92,-1.9,-0.07
32.9,0.525,-0.21
33.88,2.95,-0.35
32.865,2.26,-0.145
31.85,1.57,0.06
33.86,-0.37,-0.1
35.405,-0.47,-0.46
36.95,-0.57,-0.82
34.67,0.48,-0.98
33.73,3.44,-0.99
33.61,2.18,-0.99
34.2,-0.24,-1.04
33.97,-1.24,-0.4
34.34,-0.57,-0.03
34.61,0.15,-0.12
35.42,2.1,-0.13
35.69,3.55,-0.13
32.53,2.96,0.32
33.37,2.65,0.0
35.19,0.57,-0.34
35.35,0.71,-0.38
36.41,-2.74,-0.78
35.6,0.57,-0.82
35.58,-1.63,-1.64
35.92,-1.68,-1.86
33.41,-2.3,-2.47
32.19,-4.27,-2.67
33.46,-6.53,-2.48
32.01,-1.68,-2.01
35.69,-5.16,-1.94
34.765,-3.44,-1.635
34.3025,-2.58,-1.4825
34.0713,-2.15,-1.4062
33.9557,-1.935,-1.3681
33.8979,-1.8275,-1.349
33.84,-1.72,-1.33
35.62,-2.7,-1.48
37.4,-3.68,-1.63
38.17,-2.55,-0.695
38.555,-1.985,-0.2275
38.7475,-1.7025,0.0062
38.8438,-1.5612,0.1231
38.8919,-1.4906,0.1816
38.9159,-1.4553,0.2108
38.9279,-1.4377,0.2254
38.9339,-1.4288,0.2327
38.9369,-1.4244,0.2364
38.9385,-1.4222,0.2382
38.9392,-1.4211,0.2391
38.9396,-1.4206,0.2396
38.9398,-1.4203,0.2398
38.94,-1.42,0.24
37.22,-2.95,0.55
36.66,-2.56,-0.06
39.41,-1.95,-1.0
38.22,-1.54,-2.06
36.62,-4.41,-2.64
34.68,-4.05,-2.09
34.235,-3.085,-1.645
33.79,-2.12,-1.2
33.21,-3.48,-1.6
34.22,-1.62,-1.61
32.39,-1.6,-2.21
30.025,-0.04,-1.03
28.8425,0.74,-0.44
28.2512,1.13,-0.145
27.66,1.52,0.15
34.0,0.93,0.68
34.04,-3.57,0.57
34.95,-2.27,0.55
35.025,-1.305,0.74
35.1,-0.34,0.93
35.67,-2.47,0.71
34.215,0.01,0.655
33.4875,1.25,0.6275
33.1238,1.87,0.6138
32.9419,2.18,0.6069
32.76,2.49,0.6
34.065,1.595,0.375
35.37,0.7,0.15
34.76,-2.14,0.2
33.82,-2.95,-0.15
31.83,0.91,0.03
34.45,-3.02,-0.93
34.7,-0.65,-0.87
33.31,-0.74,-0.23
32.615,-0.785,0.09
31.92,-0.83,0.41
32.565,-0.355,0.105
32.8875,-0.1175,-0.0475
33.0488,0.0013,-0.1238
33.21,0.12,-0.2
33.28,2.07,-0.06
33.09,1.97,-0.17
33.45,-0.1,-0.23
34.67,-1.55,-0.23
33.355,-3.45,-0.4
32.04,-5.35,-0.57
